,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
206,206,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,SUCCESS,Absalom Iimbondi,120000.0,True,Used Season Before * 1.2 But Had Both,False,Absalom Iimbondi,A Iimbondi,none,Done,120000
207,207,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,SUCCESS,Elmo Kambindu,0.0,True,Had Both but Both Were Empty,False,Elmo Kambindu,E Kambindu,none,Done,0
208,208,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,SUCCESS,Charles Hambira,40000.0,True,Used Season Before * .8 But Had Both,False,Charles Hambira,C Hambira,none,Done,40000
209,209,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,SUCCESS,Benson Shilongo,200000.0,True,Found in Curr Season,False,Benson Shilongo,L Haukongo,none,Done,200000
210,210,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,SUCCESS,Aprocius Petrus,0.0,True,Had Both but Both Were Empty,False,Aprocius Petrus,A Petrus,none,Done,0
211,211,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,SUCCESS,Denzil Haoseb,160000.0,True,Used Season Before * .8 But Had Both,False,Denzil Haoseb,D Haoseb,none,Done,160000
212,212,2164,"World Cup Qualifiers, Africa, 2022",Congo vs Namibia,11-11-2021,Namibia,NB,2021,SUCCESS,Wesley Katjiteo,40000.0,True,Only Before,False,Wesley Katjiteo,W Katjiteo,none,Done,40000
213,213,3693,"Gold Cup, 2017",Martinique vs Nicaragua,09-07-2017,Martinique,MQ,2017,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,Done,0
214,214,3693,"Gold Cup, 2017",Martinique vs Nicaragua,09-07-2017,Martinique,MQ,2017,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Audel,none,Done,0
215,215,3708,"Gold Cup, 2017",Panama vs Martinique,15-07-2017,Martinique,MQ,2017,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,Done,0
216,216,3708,"Gold Cup, 2017",Panama vs Martinique,15-07-2017,Martinique,MQ,2017,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Audel,none,Done,0
217,217,3708,"Gold Cup, 2017",Panama vs Martinique,15-07-2017,Martinique,MQ,2017,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,S Langil,none,Done,0
218,218,3717,"Gold Cup, 2017",United States vs Martinique,13-07-2017,Martinique,MQ,2017,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,Done,0
219,219,3717,"Gold Cup, 2017",United States vs Martinique,13-07-2017,Martinique,MQ,2017,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Audel,none,Done,0
220,220,3728,"Gold Cup, 2019",Cuba vs Martinique,20-06-2019,Martinique,MQ,2019,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
221,221,3728,"Gold Cup, 2019",Cuba vs Martinique,20-06-2019,Martinique,MQ,2019,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Marveaux,none,Done,0
222,222,3734,"Gold Cup, 2019",Martinique vs Mexico,24-06-2019,Martinique,MQ,2019,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
223,223,3734,"Gold Cup, 2019",Martinique vs Mexico,24-06-2019,Martinique,MQ,2019,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Marveaux,none,Done,0
