"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
9,106,0.149085794655415,711,"2019_2020"
11,102,0.146762589928058,695,"2019_2020"
13,96,0.143283582089552,670,"2019_2020"
15,89,0.136923076923077,650,"2019_2020"
17,86,0.136724960254372,629,"2019_2020"
19,78,0.128712871287129,606,"2019_2020"
21,74,0.127147766323024,582,"2019_2020"
23,72,0.128571428571429,560,"2019_2020"
25,67,0.123388581952118,543,"2019_2020"
27,64,0.123314065510597,519,"2019_2020"
29,63,0.124752475247525,505,"2019_2020"
31,58,0.120331950207469,482,"2019_2020"
33,54,0.116883116883117,462,"2019_2020"
35,52,0.116071428571429,448,"2019_2020"
37,49,0.113425925925926,432,"2019_2020"
39,46,0.110047846889952,418,"2019_2020"
41,45,0.11166253101737,403,"2019_2020"
43,40,0.105263157894737,380,"2019_2020"
45,38,0.104972375690608,362,"2019_2020"
47,34,0.0974212034383954,349,"2019_2020"
49,31,0.0917159763313609,338,"2019_2020"
51,27,0.0833333333333333,324,"2019_2020"
53,26,0.0830670926517572,313,"2019_2020"
55,26,0.0852459016393443,305,"2019_2020"
57,24,0.0816326530612245,294,"2019_2020"
59,22,0.0777385159010601,283,"2019_2020"
61,17,0.0656370656370656,259,"2019_2020"
63,16,0.0642570281124498,249,"2019_2020"
65,14,0.0600858369098712,233,"2019_2020"
67,13,0.0590909090909091,220,"2019_2020"
69,13,0.0619047619047619,210,"2019_2020"
71,12,0.0594059405940594,202,"2019_2020"
73,12,0.0621761658031088,193,"2019_2020"
75,11,0.0597826086956522,184,"2019_2020"
77,10,0.0558659217877095,179,"2019_2020"
79,7,0.0409356725146199,171,"2019_2020"
81,6,0.0357142857142857,168,"2019_2020"
83,5,0.0316455696202532,158,"2019_2020"
85,5,0.0340136054421769,147,"2019_2020"
87,4,0.0291970802919708,137,"2019_2020"
89,4,0.0307692307692308,130,"2019_2020"
91,3,0.024390243902439,123,"2019_2020"
93,2,0.0170940170940171,117,"2019_2020"
95,2,0.0176991150442478,113,"2019_2020"
97,1,0.0091743119266055,109,"2019_2020"
99,1,0.00970873786407767,103,"2019_2020"
101,1,0.0102040816326531,98,"2019_2020"
103,1,0.010989010989011,91,"2019_2020"
105,1,0.0114942528735632,87,"2019_2020"
107,1,0.0123456790123457,81,"2019_2020"
109,1,0.0133333333333333,75,"2019_2020"
111,1,0.0147058823529412,68,"2019_2020"
113,1,0.0158730158730159,63,"2019_2020"
115,1,0.0158730158730159,63,"2019_2020"
117,1,0.0169491525423729,59,"2019_2020"
119,0,0,54,"2019_2020"
121,0,0,54,"2019_2020"
123,0,0,51,"2019_2020"
125,0,0,49,"2019_2020"
127,0,0,45,"2019_2020"
129,0,0,42,"2019_2020"
131,0,0,40,"2019_2020"
133,0,0,38,"2019_2020"
135,0,0,35,"2019_2020"
137,0,0,31,"2019_2020"
139,0,0,30,"2019_2020"
141,0,0,29,"2019_2020"
143,0,0,29,"2019_2020"
145,0,0,28,"2019_2020"
147,0,0,27,"2019_2020"
149,0,0,26,"2019_2020"
151,0,0,26,"2019_2020"
153,0,0,25,"2019_2020"
155,0,0,24,"2019_2020"
157,0,0,23,"2019_2020"
159,0,0,21,"2019_2020"
161,0,0,20,"2019_2020"
163,0,0,19,"2019_2020"
165,0,0,18,"2019_2020"
167,0,0,14,"2019_2020"
169,0,0,12,"2019_2020"
171,0,0,12,"2019_2020"
173,0,0,10,"2019_2020"
175,0,0,7,"2019_2020"
177,0,0,6,"2019_2020"
179,0,0,6,"2019_2020"
181,0,0,6,"2019_2020"
183,0,0,5,"2019_2020"
185,0,0,4,"2019_2020"
187,0,0,3,"2019_2020"
189,0,0,2,"2019_2020"
