,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Name(s) Found,Market Value New,Status,Status New,Lookup Return Case,Match Case
108,337,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
110,347,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,Tome Pačovski,Pachowski,Tome Pačovski,300000,SUCCESS,Done,Found in Curr Season,single
76,415,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
77,422,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Slovakia,SK,Norbert Gyomber,Diomber,Norbert Gyomber,1200000,SUCCESS,Done,Found in Curr Season,single
71,264,421,"Euros 2016, Qualifiers",12.10.14,Luxembourg vs Spain,2014,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
72,275,422,"Euros 2016, Qualifiers",15.11.14,Luxembourg vs Ukraine,2014,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
92,1621,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Malta,MT,7. Файла,Clayton Failla,Clayton Failla,250000,SUCCESS,Done,Found in Curr Season,single
93,1626,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Malta,MT,15. Борг С.,S Borg,Steve Borg,350000,SUCCESS,Done,Found in Curr Season,single
94,1630,584,"Euros 2016, Qualifiers",06.09.15,Malta vs Azerbaijan,2015,Azerbaijan,AZ,2. Гараев,Garaev,Qara Qarayev,500000,SUCCESS,Done,Found in Curr Season,single
100,1698,592,"Euros 2016, Qualifiers",13.10.15,Malta vs Croatia,2015,Malta,MT,18. Кристенсен,Bjorn Kristensen,Bjorn Kristensen,150000,SUCCESS,Done,Found in Curr Season,single
99,1692,592,"Euros 2016, Qualifiers",13.10.15,Malta vs Croatia,2015,Malta,MT,5. Агиус Э.,Andrei Agius ,Andrei Agius ,100000,SUCCESS,Done,Found in Curr Season,single
104,1794,1523,Nations League 2018-2020,20.11.18,Malta vs Faroe Islands,2018,Faroe Islands,FO,22. Томсен Я.Л.,Jákup Thomsen,Jákup Thomsen,100000,SUCCESS,Done,Found in Curr Season,single
11,2334,727,"Euros 2020, Qualifiers",23.03.19,Malta vs Faroe Islands,2019,Faroe Islands,FO,22. Томсен Я.Л.,Jákup Thomsen,Jákup Thomsen,125000,SUCCESS,Done,Found in Curr Season,single
165,1448,568,"Euros 2016, Qualifiers",10.10.14,Malta vs Norway,2014,Malta,MT,7. Фэйла,Clayton Failla,Clayton Failla,100000,SUCCESS,Done,Found in Curr Season,single
136,1176,537,"Euros 2016, Qualifiers",09.10.14,Moldova vs Austria,2014,Moldova,MD,2. Армаш,Armash,Igor Armaş,1200000,SUCCESS,Done,Found in Curr Season,single
3,1236,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Moldova,MD,2. Армаш,Armash,Igor Armaş,1200000,SUCCESS,Done,Found in Curr Season,single
4,1239,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Moldova,MD,5. Раку,Petru Racu,Petru Racu,200000,SUCCESS,Done,Found in Curr Season,single
5,1252,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Liechtenstein,LI,18. Н.Хаслер,N Hasler,Nicolas Hasler,350000,SUCCESS,Done,Found in Curr Season,single
6,1255,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Liechtenstein,LI,8. Визер,Vieser,Sandro Wieser,350000,SUCCESS,Done,Found in Curr Season,single
150,1362,558,"Euros 2016, Qualifiers",09.10.15,Moldova vs Russia,2015,Moldova,MD,17. Оникэ,Alexandru Onica,Alexandru Onica,250000,SUCCESS,Done,Found in Curr Season,single
9,1294,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,8. Визер,Vieser,Sandro Wieser,1000000,SUCCESS,Done,Found in Curr Season,single
7,1261,544,"Euros 2016, Qualifiers",15.11.14,Montenegro vs Sweden,2014,Montenegro,ME,4. Н.Вукчевич,Nikola Vukcevic ,Nikola Vukcevic ,300000,SUCCESS,Done,Found in Curr Season,single
143,1871,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Netherlands,NL,2. Ван дер Виль,Vander Wiel,Gregory van der Wiel,9000000,SUCCESS,Done,Found in Curr Season,single
27,1958,362,"Euros 2016, Qualifiers",16.11.14,Netherlands vs Latvia,2014,Latvia,LV,11. Э.Вишняков,E Vishnyakov,Eduards Visnakovs,300000,SUCCESS,Done,Found in Curr Season,single
74,299,425,"Euros 2016, Qualifiers",27.03.15,North Macedonia vs Belarus,2015,N. Macedonia,MK,Tome Pačovski,Pachowski,Tome Pačovski,300000,SUCCESS,Done,Found in Curr Season,single
66,226,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,N. Macedonia,MK,Tome Pačovski,Pachowski,Tome Pačovski,600000,SUCCESS,Done,Found in Curr Season,single
67,238,417,"Euros 2016, Qualifiers",09.10.14,North Macedonia vs Luxembourg,2014,Luxembourg,LU,Maxime Chanot,Shano,Maxime Chanot,1500000,SUCCESS,Done,Found in Curr Season,single
73,285,423,"Euros 2016, Qualifiers",15.11.14,North Macedonia vs Slovakia,2014,N. Macedonia,MK,Tome Pačovski,Pachowski,Tome Pačovski,600000,SUCCESS,Done,Found in Curr Season,single
120,383,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,17.  Петрович,Milovan Petrovikj,Milovan Petrovikj,300000,SUCCESS,Done,Found in Curr Season,single
118,380,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,18. Жута,Leonard Zuta,Leonard Zuta,500000,SUCCESS,Done,Found in Curr Season,single
117,377,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,Tome Pačovski,Pachowski,Tome Pačovski,300000,SUCCESS,Done,Found in Curr Season,single
119,381,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,23.  Асковски,Askovski,Stefan Ashkovski,360000,SUCCESS,Done,Only Before,single
123,393,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,4. Петрович,Milovan Petrovikj,Milovan Petrovikj,300000,SUCCESS,Done,Found in Curr Season,single
122,390,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,3. Жута,Leonard Zuta,Leonard Zuta,500000,SUCCESS,Done,Found in Curr Season,single
121,388,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,Tome Pačovski,Pachowski,Tome Pačovski,300000,SUCCESS,Done,Found in Curr Season,single
41,915,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,Faroe Islands,FO,6. Хансон,Hallur Hansson,Hallur Hansson,100000,SUCCESS,Done,Found in Curr Season,single
39,904,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,North. Ireland, NI,7. Макгинн,Mc Ginn,Niall McGinn,700000,SUCCESS,Done,Found in Curr Season,single
