,Jersey Name,Name Match,Date,Nationality,Country Code,Match ID,Competition,Match
161,W Moke,['Wilfred Moke'],30-06-2019,Congo DR,DR,3536,"African Cup of Nations, 2019",Zimbabwe vs Congo DR
162,Y Mulumbu,['Youssouf Mulumbu'],30-06-2019,Congo DR,DR,3536,"African Cup of Nations, 2019",Zimbabwe vs Congo DR
163,J Maghoma,['Jacques Maghoma'],30-06-2019,Congo DR,DR,3536,"African Cup of Nations, 2019",Zimbabwe vs Congo DR
164,J Bolingi,['Jonathan Bolingi'],30-06-2019,Congo DR,DR,3536,"African Cup of Nations, 2019",Zimbabwe vs Congo DR
165,C Bakambu,['Cédric Bakambu'],30-06-2019,Congo DR,DR,3536,"African Cup of Nations, 2019",Zimbabwe vs Congo DR
166,M Ošs,['Marcis Oss'],21.03.19,Latvia,LV,758,"Euros 2020, Qualifiers",North Macedonia vs Latvia
167,K Piątek,['Krzysztof Piatek'],24.03.19,Poland,PL,760,"Euros 2020, Qualifiers",Poland vs Latvia
168,M Ošs,['Marcis Oss'],24.03.19,Latvia,LV,760,"Euros 2020, Qualifiers",Poland vs Latvia
169,M Ošs,['Marcis Oss'],07.06.19,Latvia,LV,764,"Euros 2020, Qualifiers",Latvia vs Israel
170,K Piątek,['Krzysztof Piatek'],10.06.19,Poland,PL,765,"Euros 2020, Qualifiers",Poland vs Israel
171,M Ošs,['Marcis Oss'],10.06.19,Latvia,LV,767,"Euros 2020, Qualifiers",Latvia vs Slovenia
172,K Piątek,['Krzysztof Piatek'],06.09.19,Poland,PL,770,"Euros 2020, Qualifiers",Slovenia vs Poland
173,M Ošs,['Marcis Oss'],10.10.19,Latvia,LV,776,"Euros 2020, Qualifiers",Latvia vs Poland
174,M Ošs,['Marcis Oss'],15.10.19,Latvia,LV,779,"Euros 2020, Qualifiers",Israel vs Latvia
175,M Ošs,['Marcis Oss'],16.11.19,Latvia,LV,780,"Euros 2020, Qualifiers",Slovenia vs Latvia
176,K Piątek,['Krzysztof Piatek'],16.11.19,Poland,PL,782,"Euros 2020, Qualifiers",Israel vs Poland
177,M Ošs,['Marcis Oss'],19.11.19,Latvia,LV,785,"Euros 2020, Qualifiers",Latvia vs Austria
178,D Luís,['Daniel Luis'],18-07-2015,Cuba,CU,3667,"Gold Cup, 2015",United States vs Cuba
179,D Luís,['Daniel Luis'],15-07-2015,Cuba,CU,3670,"Gold Cup, 2015",Cuba vs Guatemala
180,C Ruíz,['Carlos Ruiz'],15-07-2015,Guatemala,GT,3670,"Gold Cup, 2015",Cuba vs Guatemala
181,C Ruíz,['Carlos Ruiz'],10-07-2015,Guatemala,GT,3672,"Gold Cup, 2015",Trinidad and Tobago vs Guatemala
182,C Ruíz,['Carlos Ruiz'],13-07-2015,Guatemala,GT,3674,"Gold Cup, 2015",Guatemala vs Mexico
183,D Luís,['Daniel Luis'],12-07-2015,Cuba,CU,3684,"Gold Cup, 2015",Trinidad and Tobago vs Cuba
184,J Kiassumbua,['Joël Kiassumbua'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
185,C Luyindama,['Christian Luyindama'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
186,C Mbemba,['Chancel Mbemba'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
187,A Masuaku,['Arthur Masuaku'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
188,G Kakuta,['Gaël Kakuta'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
189,S Moutoussamy,['Samuel Moutoussamy'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
190,S Bastien,['Samuel Bastien'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
191,Y Bolasie,['Yannick Bolasie'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
192,D Mbokani,['Dieumerci Mbokani'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
193,B Malango,['Ben Malango'],14-11-2021,Congo DR,DR,2195,"World Cup Qualifiers, Africa, 2022",Congo DR vs Benin
194,Ernan Siluane,['Ernan'],08-10-2021,Mozambique,MZ,2197,"World Cup Qualifiers, Africa, 2022",Cameroon vs Mozambique
195,G Kalulu,['Gédéon Kalulu'],15-11-2023,Congo DR,DR,2208,"World Cup Qualifiers, Africa, 2026",Congo DR vs Mauritania
196,C Mbemba,['Chancel Mbemba'],15-11-2023,Congo DR,DR,2208,"World Cup Qualifiers, Africa, 2026",Congo DR vs Mauritania
197,H Inonga,['Henoc Inonga'],15-11-2023,Congo DR,DR,2208,"World Cup Qualifiers, Africa, 2026",Congo DR vs Mauritania
198,J Kayembe,['Joris Kayembe'],15-11-2023,Congo DR,DR,2208,"World Cup Qualifiers, Africa, 2026",Congo DR vs Mauritania
