,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
22,91,465,"Euros 2016, Qualifiers",Ireland vs Georgia,07.09.15,Ireland,IE,2015,FAIL,"['John OShea', 'Dara OShea']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,John Oshea,O`Shea,multiple,Done
23,93,468,"Euros 2016, Qualifiers",Ireland vs Germany,08.10.15,Ireland,IE,2015,FAIL,"['John OShea', 'Dara OShea']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,John Oshea,O`Shea,multiple,Done
24,96,472,"Euros 2016, Qualifiers",Poland vs Ireland,11.10.15,Ireland,IE,2015,FAIL,"['John OShea', 'Dara OShea']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,John Oshea,O`Shea,multiple,Done
25,98,2385,"World Cup Qualifiers, Asia, 2018",Guam vs India,16-06-2015,India,IN,2015,FAIL,"['Dhanachandra Singh', 'Davinder Singh', 'Dheeraj Singh']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Dheeraj Singh,D Singh,multiple,Done
26,100,2406,"World Cup Qualifiers, Asia, 2018",Sri Lanka vs Bhutan,12-03-2015,Sri Lanka,LK,2015,FAIL,"['Dilan De Silva', 'Dillon De Silva']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Dillon De Silva,D De Silva,multiple,Done
27,102,1328,"Olympics, 2016",Iraq vs Denmark,2016-08-04,Denmark,DK,2016,FAIL,"['Nicolai Johansen', 'Nicolai Boilesen']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Nicolai Brock Madsen,Nicolai Brock-Madsen,multiple,Done
28,103,1330,"Olympics, 2016",Denmark vs South Africa,2016-08-07,Denmark,DK,2016,FAIL,"['Nicolai Johansen', 'Nicolai Boilesen']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Nicolai Brock Madsen,Nicolai Brock-Madsen,multiple,Done
29,104,1332,"Olympics, 2016",Denmark vs Brazil,2016-08-10,Denmark,DK,2016,FAIL,"['Nicolai Johansen', 'Nicolai Boilesen']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Nicolai Brock Madsen,Nicolai Brock-Madsen,multiple,Done
30,105,1333,"Olympics, 2016",South Africa vs Iraq,2016-08-10,South Africa,ZA,2016,FAIL,"['Tercious Malepe', 'Tsepo Masilela']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Tercious Malepe,Repo Malepe,multiple,Done
31,106,1335,"Olympics, 2016",Nigeria vs Japan,2016-08-04,Japan,JP,2016,FAIL,"['Musashi Suzuki', 'Masato Kudo']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Masatoshi Kushibiki,Masatoshi Kushibiki,multiple,Done
32,107,1337,"Olympics, 2016",Japan vs Colombia,2016-08-07,Japan,JP,2016,FAIL,"['Shoya Nakajima', 'Seiya Maikuma']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Shinya Yajima,Shinya Yajima,multiple,Done
33,108,1345,"Olympics, 2016",South Korea vs Mexico,2016-08-10,Mexico,MX,2016,FAIL,"['Julio González', 'Arturo González', 'Hugo González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Arturo Gonzalez,Alfonso González,multiple,Done
34,109,1347,"Olympics, 2016",Portugal vs Argentina,2016-08-04,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Lautaro Acosta']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Lautaro Giannetti,Lautaro Gianetti,multiple,Done
