,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
35,376,1986,"World Cup Qualifiers, Africa, 2018",Central African Republic vs Madagascar,10-10-2015,Madagascar,MG,2015,FAIL,"['Tahiana Randrianarisoa', 'Mahavy Tiana Randrianarisoa', 'Jean Dieu Randrianasolo']",0,TRUE,Name Confusion,FALSE,"['Tahiana Randrianarisoa', 'Jean Dieu Randrianasolo']",G Randrianarisoa,multiple,Multi
36,378,1990,"World Cup Qualifiers, Africa, 2018",Congo DR vs Guinea,11-11-2017,Guinea,GN,2017,FAIL,"['Moussa Traoré', 'Mohamed Kalil Traoré']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mohamed Kalil Traoré,M Traoré,multiple,Done
37,413,3978,"World Cup 2018, Qualifiers, CONCACAF",Nicaragua vs Suriname,7-Jun-15,Nicaragua,NI,2015,FAIL,"['Norfran Lazo', 'Érick Lazo']",0,TRUE,Name Confusion,FALSE,"['Norfran Lazo', 'Érick Lazo']",Lazo,multiple,Multi
38,416,3984,"World Cup 2018, Qualifiers, CONCACAF",Dominica vs Canada,11-Jun-15,Dominica,DM,2015,FAIL,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",0,TRUE,Name Confusion,FALSE,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince']",Prince,multiple,Multi
39,419,3984,"World Cup 2018, Qualifiers, CONCACAF",Dominica vs Canada,11-Jun-15,Dominica,DM,2015,FAIL,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",0,TRUE,Name Confusion,FALSE,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince']",Prince,multiple,Multi
40,439,4319,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Ecuador,11-Oct-16,Bolivia,BO,2016,FAIL,"['Jorge Flores', 'Wálter Flores']",0,TRUE,Name Confusion,FALSE,"['Jorge Flores', 'Wálter Flores']",Flores,multiple,Multi
41,461,4168,"World Cup 2022, Qualifiers, CONCACAF",Honduras vs Panama,12-Nov-21,Honduras,HN,2021,FAIL,"['Carlos Meléndez', 'Cristopher Meléndez', 'Denis Meléndez']",0,TRUE,Name Confusion,FALSE,"['Carlos Meléndez', 'Cristopher Meléndez']",Meléndez,multiple,Multi
42,468,2282,"World Cup Qualifiers, Asia, 2018",India vs Oman,11-06-2015,India,IN,2015,FAIL,"['Sehnaj Singh', 'Seityasen Singh', 'Salam Singh', 'Suresh Singh']",0,TRUE,Name Confusion,FALSE,"['Sehnaj Singh', 'Seityasen Singh']",S Singh,multiple,Multi
43,492,2156,"World Cup Qualifiers, Africa, 2022",Egypt vs Angola,01-09-2021,Egypt,EG,2021,FAIL,"['Ahmed Eid', 'Ahmed Ali']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ahmed Ali,Ahmed Zizo,multiple,Done
44,493,2157,"World Cup Qualifiers, Africa, 2022",Somalia vs Zimbabwe,05-09-2019,Somalia,SO,2019,FAIL,"['Mohamed Ali Mohamed', 'Mohamed Abukar Mohamed']",0,TRUE,Name Confusion,FALSE,"['Mohamed Ali Mohamed', 'Mohamed Abukar Mohamed']",M Ali Mohamed,multiple,Done
45,494,2163,"World Cup Qualifiers, Africa, 2022",Djibouti vs Burkina Faso,08-10-2021,Djibouti,DJ,2021,FAIL,"['Mohamed Bourhan Mohamed', 'Moussa Helem Mohamed', 'Mohamed Fouad Mohamed']",0,TRUE,Name Confusion,FALSE,"['Mohamed Bourhan Mohamed', 'Mohamed Fouad Mohamed']",M Mohamed,multiple,Multi
46,496,2165,"World Cup Qualifiers, Africa, 2022",Burkina Faso vs Djibouti,11-10-2021,Djibouti,DJ,2021,FAIL,"['Mohamed Bourhan Mohamed', 'Moussa Helem Mohamed', 'Mohamed Fouad Mohamed']",0,TRUE,Name Confusion,FALSE,"['Mohamed Bourhan Mohamed', 'Mohamed Fouad Mohamed']",M Mohamed,multiple,Multi
