,index,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
10494,73197,4151,"World Cup 2022, Qualifiers, CONCACAF",Costa Rica vs Jamaica,08-Sep-21,Jamaica,JM,2021,SUCCESS,"['Joel Grant', 'Fabian Grant', 'Anthony Grant']",160000,False,Only Before,False,Anthony Grant,Grant,multiple,,0
10495,73198,4160,"World Cup 2022, Qualifiers, CONCACAF",Jamaica vs Canada,10-Oct-21,Jamaica,JM,2021,SUCCESS,"['Joel Grant', 'Fabian Grant', 'Anthony Grant']",160000,False,Only Before,False,Anthony Grant,Grant,multiple,,0
10496,73199,4164,"World Cup 2022, Qualifiers, CONCACAF",Honduras vs Jamaica,13-Oct-21,Jamaica,JM,2021,SUCCESS,"['Joel Grant', 'Fabian Grant', 'Anthony Grant']",160000,False,Only Before,False,Anthony Grant,Grant,multiple,,0
10497,73200,4169,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs Jamaica,12-Nov-21,Jamaica,JM,2021,SUCCESS,"['Joel Grant', 'Fabian Grant', 'Anthony Grant']",160000,False,Only Before,False,Anthony Grant,Grant,multiple,,0
10498,73201,4177,"World Cup 2022, Qualifiers, CONCACAF",Honduras vs Canada,27-Jan-22,Honduras,HN,2022,SUCCESS,"['Henry Figueroa', 'Maynor Figueroa', 'Josman Figueroa']",160000,False,Only Before,False,Maynor Figueroa,Figueroa,multiple,,0
10499,73202,4183,"World Cup 2022, Qualifiers, CONCACAF",USA vs Honduras,02-Feb-22,Honduras,HN,2022,SUCCESS,"['Henry Figueroa', 'Maynor Figueroa', 'Josman Figueroa']",160000,False,Only Before,False,Maynor Figueroa,Figueroa,multiple,,0
10500,73203,3233,"World Cup Qualifiers, Europe, 2022",Armenia vs Iceland,28-03-2021,Iceland,IS,2021,SUCCESS,"['Hannes Thór Halldórsson', 'Hilmar Árni Halldórsson']",120000,False,Only Before,False,Hannes Thór Halldórsson,H Halldórsson,multiple,,0
10501,73204,3758,"Gold Cup, 2021",Honduras vs Grenada,14-07-2021,Honduras,HN,2021,SUCCESS,"['Boniek García', 'Brayan García']",160000,False,Only Before,False,Boniek García,B García,multiple,,0
10502,73205,3759,"Gold Cup, 2021",Suriname vs Costa Rica,17-07-2021,Costa Rica,CR,2021,SUCCESS,Ariel Rodríguez,320000,False,Only Before,False,Ariel Rodríguez,A Rodríguez,single,,0
10503,73206,3773,"Gold Cup, 2021",Panama vs Honduras,18-07-2021,Honduras,HN,2021,SUCCESS,"['Boniek García', 'Brayan García']",160000,False,Only Before,False,Boniek García,B García,multiple,,0
10504,73207,3783,"Gold Cup, 2023",Mexico vs Costa Rica,09-07-2023,Mexico,MX,2023,SUCCESS,Luis Chávez,3600000,False,Only Before,False,Luis Chávez,L Chávez,single,,0
10505,73208,3784,"Gold Cup, 2023",Panama vs El Salvador,05-07-2023,El Salvador,SV,2023,SUCCESS,Narciso Orellana,270000,False,Only Before,False,Narciso Orellana,N Orellana,single,,0
10506,73209,3786,"Gold Cup, 2023",Jamaica vs Trinidad and Tobago,29-06-2023,Trinidad and Tobago,TT,2023,SUCCESS,Levi García,4800000,False,Only Before,False,Levi García,L García,single,,0
10507,73210,3787,"Gold Cup, 2023",Trinidad and Tobago vs Saint Kitts and Nevis,25-06-2023,Trinidad and Tobago,TT,2023,SUCCESS,Levi García,4800000,False,Only Before,False,Levi García,L García,single,,0
10508,73211,3789,"Gold Cup, 2023",Honduras vs Haiti,03-07-2023,Honduras,HN,2023,SUCCESS,Omar Elvir,180000,False,Only Before,False,Omar Elvir,O Elvir,single,,0
10509,73212,3790,"Gold Cup, 2023",Mexico vs Panama,17-07-2023,Mexico,MX,2023,SUCCESS,Luis Chávez,3600000,False,Only Before,False,Luis Chávez,L Chávez,single,,0
10510,73213,3792,"Gold Cup, 2023",United States vs Trinidad and Tobago,03-07-2023,Trinidad and Tobago,TT,2023,SUCCESS,Levi García,4800000,False,Only Before,False,Levi García,L García,single,,0
10511,73214,1123,Euros 2016,France vs Romania,10.06.16,Romania,RO,2016,SUCCESS,Răzvan Raţ,1200000,False,Only Before,False,Răzvan Raţ,Rat,single,,0
10512,73215,1125,Euros 2016,Romania vs Switzerland,15.06.16,Romania,RO,2016,SUCCESS,Răzvan Raţ,1200000,False,Only Before,False,Răzvan Raţ,Rat,single,,0
10513,73216,1147,Euros 2016,Ireland vs Sweden,13.06.16,Sweden,SE,2016,SUCCESS,Kim Källström,2000000,False,Only Before,False,Kim Källström,Kallstrom,single,,0
10514,73217,1149,Euros 2016,Italy vs Sweden,17.06.16,Sweden,SE,2016,SUCCESS,Kim Källström,2000000,False,Only Before,False,Kim Källström,Kallstrom,single,,0
10515,73218,1152,Euros 2016,Sweden vs Belgium,22.06.16,Sweden,SE,2016,SUCCESS,Kim Källström,2000000,False,Only Before,False,Kim Källström,Kallstrom,single,,0
10516,73220,2288,"World Cup Qualifiers, Asia, 2018",Cambodia vs Afghanistan,16-06-2015,Afghanistan,AF,2015,SUCCESS,Ahmad Farshad,0,False,Used Average of Season Before and After,True,Ahmad Hatifi,Ahmad Arash Hati,single,,0
10517,73222,2298,"World Cup Qualifiers, Asia, 2018",Vietnam vs Chinese Taipei,24-03-2016,Vietnam,VN,2016,SUCCESS,Thanh Hien Nguyen,0,False,Used Average of Season Before and After,True,Ngoc Hai Que,Qu Ngc Hi,single,,0
10518,73223,2373,"World Cup Qualifiers, Asia, 2018",Afghanistan vs Syria,11-06-2015,Afghanistan,AF,2015,SUCCESS,Ahmad Farshad,0,False,Used Average of Season Before and After,True,Ahmad Hatifi,Ahmad Arash Hati,single,,0
10519,73224,2306,"World Cup Qualifiers, Asia, 2018",Hong Kong vs Bhutan,11-06-2015,Bhutan,BT,2015,SUCCESS,Passang Tshering,0,False,Only Before + Zero Before,True,Passang Tshering,P Tshering,single,,0
10520,73226,4094,"World Cup 2022, Qualifiers, CONCACAF",British Virgin Islands vs Guatemala,27-Mar-21,Guatemala,GT,2021,SUCCESS,"['Jean Márquez', 'José Márquez']",0,False,Only Before + Zero Before,True,José Márquez,Márquez,multiple,,0
10521,73227,4096,"World Cup 2022, Qualifiers, CONCACAF",Dominica vs Panama,28-Mar-21,Dominica,DM,2021,SUCCESS,"['Rashid Bertrand', 'Chad Bertrand', 'Euclid Bertrand']",0,False,Only Before + Zero Before,True,Chad Bertrand,Bertrand,multiple,,0
10522,73229,1263,Copa America 2016,Mexico vs Venezuela,14.06.16,Venezuela,VE,2016,SUCCESS,Dani Hernández,960000,False,Only Before,False,Dani Hernández,D Hernández,single,,0
10523,73230,1265,Copa America 2016,Panama vs Bolivia,07.06.16,Bolivia,BO,2016,SUCCESS,"['Abraham Cabrera', 'Nelson Cabrera']",220000,False,Only Before,False,Nelson Cabrera,Cabrera,multiple,,0
10524,73231,1270,Copa America 2016,Argentina vs Bolivia,15.06.16,Bolivia,BO,2016,SUCCESS,"['Abraham Cabrera', 'Nelson Cabrera']",220000,False,Only Before,False,Nelson Cabrera,Cabrera,multiple,,0
10525,73232,1273,Copa America 2019,Argentina vs Chile,06.07.19,Chile,CL,2019,SUCCESS,"['Gonzalo Jara', 'Ignacio Jara']",560000,False,Only Before,False,Gonzalo Jara,Jara,multiple,,0
10526,73237,1294,Copa America 2019,Uruguay vs Japan,21.06.19,Japan,JP,2019,SUCCESS,"['Hiroyuki Abe', 'Hiroki Abe']",60000,False,Only Before,False,Hiroki Abe,H Abe,multiple,,0
10527,73238,1296,Copa America 2019,Chile vs Uruguay,25.06.19,Chile,CL,2019,SUCCESS,"['Gonzalo Jara', 'Ignacio Jara']",560000,False,Only Before,False,Gonzalo Jara,Jara,multiple,,0
10528,73239,1304,Copa America 2021,Brazil vs Chile,03.07.21,Chile,CL,2021,SUCCESS,"['Eduardo Vargas', 'Miguel Vargas', 'Jeisson Vargas']",3600000,False,Only Before,False,Eduardo Vargas,Vargas,multiple,,0
10529,73240,1307,Copa America 2021,Argentina vs Chile,15.06.21,Chile,CL,2021,SUCCESS,"['Eduardo Vargas', 'Miguel Vargas', 'Jeisson Vargas']",3600000,False,Only Before,False,Eduardo Vargas,Vargas,multiple,,0
