,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
76,76,7432,766,1702,Nations League 2020-2021,Gibraltar vs Liechtenstein,17.11.20,Liechtenstein,LI,2020,SUCCESS,"['Martin Büchel', 'Marcel Büchel']",0.0,False,Large Dataset said 0,False,Martin Büchel,M-n Buchel,multiple,Done
77,77,8967,101,3489,"African Cup of Nations, 2015",Cameroon vs Guinea,24-01-2015,Guinea,GN,2015,SUCCESS,"['Fodé Camara', 'Fode Camara']",0.0,False,Large Dataset said 0,False,Fodé Camara,F Camara,multiple,Done
78,78,9176,310,3499,"African Cup of Nations, 2015",Guinea vs Mali,28-01-2015,Guinea,GN,2015,SUCCESS,"['Fodé Camara', 'Fode Camara']",0.0,False,Large Dataset said 0,False,Fodé Camara,F Camara,multiple,Done
79,79,9209,343,3500,"African Cup of Nations, 2015",Ghana vs Guinea,01-02-2015,Guinea,GN,2015,SUCCESS,"['Fodé Camara', 'Fode Camara']",0.0,False,Large Dataset said 0,False,Fodé Camara,F Camara,multiple,Done
80,80,9217,351,3500,"African Cup of Nations, 2015",Ghana vs Guinea,01-02-2015,Guinea,GN,2015,SUCCESS,"['Naby Camara', 'Mady Camara', 'Fodé Camara']",0.0,False,Large Dataset said 0,False,Lanfia Camara,R Camara,multiple,Done
81,81,9255,389,3503,"African Cup of Nations, 2017",Gabon vs Burkina Faso,18-01-2017,Burkina Faso,BF,2017,SUCCESS,"['Yaya Coulibaly', 'Yacouba Coulibaly']",0.0,False,Large Dataset said 0,False,Yacouba Coulibaly,Y Coulibaly,multiple,Done
82,82,9378,512,3509,"African Cup of Nations, 2017",Uganda vs Mali,25-01-2017,Uganda,UG,2017,SUCCESS,"['Geoffrey Kizito', 'Gavin Kizito']",0.0,False,Large Dataset said 0,False,Geoffrey Kizito,G Kizito,multiple,Done
83,83,9497,631,3514,"African Cup of Nations, 2017",Guinea-Bissau vs Burkina Faso,22-01-2017,Burkina Faso,BF,2017,SUCCESS,"['Yaya Coulibaly', 'Yacouba Coulibaly']",0.0,False,Large Dataset said 0,False,Yacouba Coulibaly,Y Coulibaly,multiple,Done
84,84,9530,664,3516,"African Cup of Nations, 2017",Burkina Faso vs Tunisia,28-01-2017,Burkina Faso,BF,2017,SUCCESS,"['Yaya Coulibaly', 'Yacouba Coulibaly']",0.0,False,Large Dataset said 0,False,Yacouba Coulibaly,Y Coulibaly,multiple,Done
85,85,9574,708,3518,"African Cup of Nations, 2017",Burkina Faso vs Ghana,04-02-2017,Burkina Faso,BF,2017,SUCCESS,"['Yaya Coulibaly', 'Yacouba Coulibaly']",0.0,False,Large Dataset said 0,False,Yacouba Coulibaly,Y Coulibaly,multiple,Done
86,86,9610,744,3519,"African Cup of Nations, 2017",Ghana vs Uganda,17-01-2017,Uganda,UG,2017,SUCCESS,"['Geoffrey Kizito', 'Gavin Kizito']",0.0,False,Large Dataset said 0,False,Geoffrey Kizito,G Kizito,multiple,Done
87,87,9718,852,3524,"African Cup of Nations, 2017",Egypt vs Uganda,21-01-2017,Uganda,UG,2017,SUCCESS,"['Geoffrey Kizito', 'Gavin Kizito']",0.0,False,Large Dataset said 0,False,Geoffrey Kizito,G Kizito,multiple,Done
88,88,9772,906,3527,"African Cup of Nations, 2017",Burkina Faso vs Egypt,01-02-2017,Burkina Faso,BF,2017,SUCCESS,"['Yaya Coulibaly', 'Yacouba Coulibaly']",0.0,False,Large Dataset said 0,False,Yacouba Coulibaly,Y Coulibaly,multiple,Done
89,89,9838,972,3530,"African Cup of Nations, 2017",Burkina Faso vs Cameroon,14-01-2017,Burkina Faso,BF,2017,SUCCESS,"['Yaya Coulibaly', 'Yacouba Coulibaly']",0.0,False,Large Dataset said 0,False,Yacouba Coulibaly,Y Coulibaly,multiple,Done
90,90,12235,69,3642,"Gold Cup, 2013",Honduras vs Costa Rica,22-07-2013,Honduras,HN,2013,SUCCESS,"['Juan Carlos García', 'José García']",0.0,False,Large Dataset said 0,False,Juan Carlos García,J García,multiple,Done
91,91,12305,139,3645,"Gold Cup, 2013",Cuba vs Belize,16-07-2013,Cuba,CU,2013,SUCCESS,"['Ariel Martínez', 'Abel Martínez']",0.0,False,Large Dataset said 0,False,Ariel Martínez,A Martínez,multiple,Done
